category_slug,dc_title,dc_source,target_audience,content_chunk
attachment-portal,Attachment Application Process,https://www.mfanoboraafrica.com/apply-now/,Students & Graduates,"To apply for an industrial attachment at Mfano Bora Africa, visit the Attachment section of the website and review the current opportunities, requirements, and application process before submitting the Attachment Application Form."
attachment-portal,Attachment Requirements,https://www.mfanoboraafrica.com/apply-now/,Students & Graduates,"Attachment requirements include a valid introduction letter from your institution, an updated CV, and completion of the Attachment Application Form. Requirements can vary slightly by department (ICT, Logistics, Administration)."
careers,Current Career Opportunities,https://www.mfanoboraafrica.com/careers/,Students & Graduates,"Current attachment, internship, and employment opportunities are published in the Careers section of the Mfano Bora Africa website and updated regularly."
ict-hub,Mfano Africa ICT Hub Overview,https://www.mfanoboraafrica.com/ict-hub/,Technology & ICT,"The Mfano Africa ICT Hub offers technology training, digital skills courses, and computer packages. Visit the ICT Hub section for the course catalogue and training registration form."
transport-logistics,Transport and Logistics Services,https://www.mfanoboraafrica.com/services/,Corporate Clients & Logistics Prospects,"Mfano Bora Africa provides transport, logistics consultancy, and supply chain management services across East Africa, along with industry reports and best-practice guides."
awards-events,East Africa Transport Logistics and Road Safety Awards,https://www.mfanoboraafrica.com/gallery/,Nominees & Industry Peers,"The East Africa Transport, Logistics and Road Safety Awards is Mfano Bora Africa's flagship recognition programme, run for 24 years, covering award categories, nomination guidelines, and event publications."
road-safety,Road Safety Club Kenya,https://www.mfanoboraafrica.com/road-safety/,Community Members,"Road Safety Club Kenya promotes safer roads and responsible road use through educational resources, campaign materials, and community participation guidelines coordinated by Mfano Bora Africa."
location-contact,Company Contact and Location,https://www.mfanoboraafrica.com/contact-us/,All Visiting Website Users,"Mfano Bora Africa is located at Mfano House, Ole Sein Road, Nairobi, Kenya. Office hours are Monday to Friday 7:00 AM to 5:00 PM and Saturday 8:00 AM to 1:00 PM. Contact info@mfanoboraafrica.com for further assistance."
forms-templates,Available Forms and Downloads,https://www.mfanoboraafrica.com/resources/,All Users,"Commonly requested forms include the Attachment Application Form, Internship Application Form, Attachment Requirements document, Company Profile, Career Resources, and Training Materials, all downloadable from the Resources Centre."
reports-publications,Industry Reports and Publications,https://www.mfanoboraafrica.com/publications/,Industry Professionals,"Mfano Bora Africa publishes industry reports and publications covering transport, logistics, road safety, and technology, as well as event publications from conferences, forums, and awards programmes."
